Flight Information:     	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                        	Launch Time:    	           	11:46:04 AM 	     	End of Ascent:	     	           	1:16:46 AM	        
Station name:           	                       	                       	   	                        	Number of sonde:	           	00627807    	     	              	     	           	          	        
Ground values:          	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Pressure:               	                       	861.3 hPa              	   	                        	Temperature:    	           	15.2 °C     	     	Humidity:     	     	           	94 %      	        
Wind Direction:         	                       	25 °                   	   	                        	Wind Speed:     	           	1 m/s       	     	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Longitude:              	                       	-104.454 °             	   	                        	Latitude:       	           	42.277 °    	     	Altitude:     	     	           	1389 m    	        
Staff:                  	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Company:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Operator:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Events:                 	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Highest Point:          	                       	26.4 hPa               	   	                        	25106 m         	           	            	     	              	     	           	          	        
Tropopauses:            	                       	1.: 200.1 hPa          	   	                        	2.: 114.2 hPa   	           	            	     	              	     	           	          	        
Max Winds:              	                       	1.: 154.8 hPa          	   	                        	                	           	            	     	              	     	           	          	        
Remarks:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
                        	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Profile Data:           	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                      	Wd              	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]                   	[°]             	[°]        	[°]         	[m]  	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
0                       	861.3                  	15.2                   	94 	0.7                     	025             	-104.453800	42.277000   	1389 	1389          	14.2 	17.3       	0.0       	1.040765
1                       	860.7                  	15.9                   	91 	0.9                     	009             	-104.453751	42.276969   	1395 	1395          	14.5 	18.0       	6.0       	1.037634
2                       	860.1                  	16.5                   	89 	1.1                     	356             	-104.453703	42.276939   	1401 	1401          	14.7 	18.7       	6.0       	1.034518
3                       	859.5                  	17.2                   	86 	1.3                     	346             	-104.453654	42.276908   	1407 	1407          	14.9 	19.4       	6.0       	1.031417
4                       	858.9                  	17.9                   	83 	1.5                     	339             	-104.453605	42.276877   	1413 	1413          	15.0 	20.1       	6.0       	1.028330
5                       	858.3                  	18.5                   	81 	1.6                     	334             	-104.453557	42.276847   	1419 	1419          	15.2 	20.8       	6.0       	1.025258
6                       	857.7                  	19.2                   	78 	1.8                     	329             	-104.453508	42.276816   	1425 	1425          	15.3 	21.5       	6.0       	1.022201
7                       	857.1                  	19.5                   	75 	2.0                     	326             	-104.453459	42.276785   	1431 	1431          	15.0 	21.7       	6.0       	1.020628
8                       	856.5                  	19.5                   	73 	2.2                     	323             	-104.453411	42.276754   	1437 	1437          	14.4 	21.6       	6.0       	1.019954
9                       	855.9                  	19.4                   	70 	2.4                     	321             	-104.453362	42.276724   	1443 	1443          	13.9 	21.5       	6.0       	1.019281
10                      	855.3                  	19.4                   	67 	2.6                     	320             	-104.453313	42.276693   	1449 	1449          	13.3 	21.4       	6.0       	1.018608
11                      	854.7                  	19.4                   	65 	2.8                     	318             	-104.453265	42.276662   	1455 	1455          	12.6 	21.3       	6.0       	1.017936
12                      	854.2                  	19.4                   	62 	3.0                     	317             	-104.453216	42.276632   	1461 	1461          	12.0 	21.2       	6.0       	1.017265
13                      	853.6                  	19.4                   	59 	3.1                     	316             	-104.453167	42.276601   	1467 	1466          	11.3 	21.1       	6.0       	1.016625
14                      	853.0                  	19.4                   	57 	3.3                     	315             	-104.453119	42.276570   	1473 	1472          	10.6 	21.1       	6.0       	1.015985
15                      	852.5                  	19.4                   	54 	3.5                     	314             	-104.453038	42.276513   	1479 	1478          	9.9  	21.0       	6.0       	1.015346
16                      	851.9                  	19.4                   	53 	3.7                     	313             	-104.452954	42.276452   	1485 	1484          	9.4  	20.9       	6.0       	1.014708
17                      	851.3                  	19.4                   	52 	3.9                     	313             	-104.452870	42.276392   	1490 	1489          	9.3  	20.9       	5.2       	1.014070
18                      	850.8                  	19.4                   	52 	4.1                     	312             	-104.452785	42.276331   	1495 	1495          	9.2  	20.9       	5.2       	1.013432
19                      	850.3                  	19.3                   	51 	4.3                     	312             	-104.452701	42.276271   	1501 	1500          	9.1  	20.9       	5.2       	1.012857
20                      	849.8                  	19.3                   	51 	4.5                     	311             	-104.452617	42.276210   	1506 	1505          	9.0  	20.8       	5.2       	1.012291
21                      	849.2                  	19.3                   	51 	4.7                     	311             	-104.452533	42.276150   	1511 	1510          	8.8  	20.8       	5.2       	1.011742
22                      	848.7                  	19.3                   	50 	4.8                     	310             	-104.452448	42.276089   	1516 	1515          	8.7  	20.8       	5.2       	1.011192
23                      	848.2                  	19.3                   	50 	5.0                     	310             	-104.452364	42.276029   	1521 	1520          	8.6  	20.7       	5.2       	1.010643
24                      	847.7                  	19.3                   	50 	5.2                     	310             	-104.452280	42.275968   	1526 	1526          	8.5  	20.7       	5.2       	1.010095
25                      	847.2                  	19.3                   	49 	5.4                     	309             	-104.452196	42.275908   	1532 	1531          	8.4  	20.7       	5.2       	1.009546
26                      	846.7                  	19.2                   	49 	5.6                     	309             	-104.452111	42.275847   	1537 	1536          	8.4  	20.7       	5.2       	1.008997
27                      	846.2                  	19.2                   	49 	5.7                     	309             	-104.452027	42.275786   	1542 	1541          	8.3  	20.7       	5.2       	1.008449
28                      	845.7                  	19.2                   	49 	5.9                     	308             	-104.451943	42.275726   	1547 	1546          	8.2  	20.6       	5.2       	1.007901
29                      	845.2                  	19.2                   	49 	6.1                     	308             	-104.451859	42.275665   	1552 	1551          	8.1  	20.6       	5.2       	1.007354
30                      	844.7                  	19.2                   	48 	6.4                     	308             	-104.451775	42.275605   	1557 	1556          	8.1  	20.6       	5.2       	1.006807
31                      	844.2                  	19.2                   	48 	6.6                     	308             	-104.451690	42.275544   	1562 	1562          	8.0  	20.6       	5.2       	1.006260
32                      	843.7                  	19.1                   	48 	6.8                     	309             	-104.451606	42.275484   	1568 	1567          	7.9  	20.5       	5.2       	1.005713
33                      	843.2                  	19.1                   	48 	7.0                     	309             	-104.451522	42.275423   	1573 	1572          	7.8  	20.5       	5.2       	1.005166
34                      	842.7                  	19.1                   	48 	7.2                     	310             	-104.451438	42.275363   	1578 	1577          	7.8  	20.5       	5.2       	1.004521
35                      	842.2                  	19.2                   	47 	7.4                     	310             	-104.451353	42.275302   	1583 	1582          	7.7  	20.5       	5.2       	1.003855
36                      	841.6                  	19.2                   	47 	7.6                     	311             	-104.451269	42.275242   	1588 	1587          	7.7  	20.6       	5.2       	1.003190
37                      	841.1                  	19.2                   	47 	7.8                     	311             	-104.451185	42.275181   	1593 	1593          	7.7  	20.6       	5.2       	1.002526
38                      	840.6                  	19.2                   	47 	8.0                     	311             	-104.451101	42.275121   	1599 	1598          	7.7  	20.6       	5.2       	1.001861
39                      	840.1                  	19.2                   	47 	8.2                     	312             	-104.451016	42.275060   	1604 	1603          	7.8  	20.6       	5.2       	1.001198
40                      	839.6                  	19.2                   	47 	8.4                     	312             	-104.450932	42.275000   	1609 	1608          	7.8  	20.6       	5.2       	1.000534
41                      	839.1                  	19.3                   	47 	8.7                     	312             	-104.450848	42.274939   	1614 	1613          	7.8  	20.7       	5.2       	0.999871
42                      	838.6                  	19.3                   	48 	8.9                     	312             	-104.450764	42.274879   	1619 	1618          	7.9  	20.7       	5.2       	0.999209
43                      	838.1                  	19.3                   	48 	9.1                     	313             	-104.450679	42.274818   	1624 	1623          	7.9  	20.7       	5.2       	0.998547
44                      	837.6                  	19.3                   	48 	9.3                     	313             	-104.450595	42.274758   	1630 	1629          	7.9  	20.7       	5.2       	0.997885
45                      	837.1                  	19.3                   	48 	9.5                     	313             	-104.450490	42.274679   	1635 	1634          	8.0  	20.8       	5.2       	0.997223
46                      	836.6                  	19.4                   	48 	9.7                     	313             	-104.450374	42.274592   	1640 	1639          	8.0  	20.8       	5.2       	0.996562
47                      	836.1                  	19.4                   	48 	9.9                     	314             	-104.450258	42.274504   	1645 	1644          	8.1  	20.8       	5.2       	0.995797
48                      	835.6                  	19.5                   	48 	10.1                    	314             	-104.450142	42.274416   	1650 	1649          	8.2  	21.0       	5.2       	0.994729
49                      	835.1                  	19.7                   	48 	10.3                    	314             	-104.450025	42.274329   	1655 	1654          	8.4  	21.1       	5.2       	0.993664
50                      	834.6                  	19.8                   	48 	10.6                    	314             	-104.449909	42.274241   	1661 	1660          	8.5  	21.3       	5.2       	0.992599
51                      	834.1                  	20.0                   	48 	10.8                    	314             	-104.449793	42.274153   	1666 	1665          	8.6  	21.4       	5.2       	0.991536
52                      	833.6                  	20.1                   	48 	11.0                    	315             	-104.449677	42.274066   	1671 	1670          	8.6  	21.6       	5.2       	0.990475
53                      	833.1                  	20.2                   	47 	11.2                    	315             	-104.449561	42.273978   	1676 	1675          	8.7  	21.7       	5.2       	0.989415
54                      	832.6                  	20.4                   	47 	11.4                    	315             	-104.449445	42.273890   	1681 	1680          	8.8  	21.9       	5.2       	0.988356
55                      	832.1                  	20.5                   	47 	11.6                    	315             	-104.449328	42.273803   	1686 	1685          	8.9  	22.0       	5.2       	0.987300
56                      	831.6                  	20.7                   	47 	11.8                    	315             	-104.449212	42.273715   	1692 	1691          	8.9  	22.2       	5.2       	0.986245
57                      	831.1                  	20.8                   	47 	12.0                    	315             	-104.449096	42.273627   	1697 	1696          	9.0  	22.3       	5.2       	0.985192
58                      	830.6                  	20.9                   	47 	12.3                    	316             	-104.448980	42.273539   	1702 	1701          	9.1  	22.5       	5.2       	0.984139
59                      	830.1                  	21.1                   	46 	12.5                    	316             	-104.448864	42.273452   	1707 	1706          	9.2  	22.6       	5.2       	0.983089
60                      	829.6                  	21.2                   	46 	12.7                    	316             	-104.448748	42.273364   	1712 	1711          	9.2  	22.8       	5.2       	0.982039
61                      	829.1                  	21.3                   	46 	12.7                    	316             	-104.448631	42.273276   	1717 	1716          	9.2  	22.8       	5.2       	0.981208
62                      	828.6                  	21.3                   	46 	12.7                    	315             	-104.448515	42.273189   	1723 	1722          	9.2  	22.9       	5.2       	0.980452
63                      	828.1                  	21.4                   	46 	12.8                    	315             	-104.448399	42.273101   	1728 	1727          	9.2  	23.0       	5.2       	0.979696
64                      	827.7                  	21.4                   	45 	12.8                    	315             	-104.448283	42.273013   	1733 	1732          	9.1  	23.0       	5.2       	0.978940
65                      	827.2                  	21.5                   	44 	12.8                    	315             	-104.448167	42.272926   	1738 	1737          	8.9  	23.0       	5.2       	0.978185
66                      	826.7                  	21.5                   	44 	12.8                    	315             	-104.448050	42.272838   	1743 	1742          	8.7  	23.1       	5.2       	0.977431
67                      	826.2                  	21.6                   	43 	12.9                    	314             	-104.447934	42.272750   	1748 	1747          	8.5  	23.1       	5.2       	0.976678
68                      	825.7                  	21.6                   	42 	12.9                    	314             	-104.447818	42.272663   	1754 	1753          	8.3  	23.1       	5.2       	0.975926
69                      	825.2                  	21.7                   	42 	12.9                    	314             	-104.447702	42.272575   	1759 	1758          	8.1  	23.2       	5.2       	0.975175
70                      	824.7                  	21.7                   	41 	12.9                    	314             	-104.447586	42.272487   	1764 	1763          	7.9  	23.2       	5.2       	0.974424
71                      	824.2                  	21.8                   	40 	13.0                    	313             	-104.447470	42.272400   	1769 	1768          	7.7  	23.2       	5.2       	0.973674
72                      	823.7                  	21.8                   	40 	13.0                    	313             	-104.447353	42.272312   	1774 	1773          	7.5  	23.3       	5.2       	0.972924
73                      	823.2                  	21.9                   	39 	13.0                    	313             	-104.447237	42.272224   	1779 	1778          	7.3  	23.3       	5.2       	0.972150
74                      	822.7                  	21.9                   	38 	13.0                    	313             	-104.447121	42.272136   	1785 	1784          	7.1  	23.3       	5.2       	0.971452
75                      	822.2                  	21.9                   	37 	13.1                    	313             	-104.447005	42.272049   	1790 	1789          	6.8  	23.3       	5.2       	0.970854
76                      	821.7                  	21.9                   	37 	13.1                    	312             	-104.446889	42.271961   	1795 	1794          	6.5  	23.2       	5.2       	0.970256
77                      	821.2                  	21.9                   	36 	13.1                    	312             	-104.446763	42.271898   	1801 	1800          	6.3  	23.2       	5.7       	0.969658
78                      	820.7                  	21.9                   	36 	13.1                    	312             	-104.446634	42.271843   	1807 	1806          	6.1  	23.2       	5.9       	0.969061
79                      	820.1                  	21.9                   	35 	13.2                    	312             	-104.446504	42.271789   	1813 	1811          	6.0  	23.2       	5.9       	0.968402
80                      	819.5                  	21.9                   	35 	13.2                    	312             	-104.446375	42.271735   	1819 	1817          	5.8  	23.2       	5.9       	0.967744
81                      	819.0                  	21.9                   	35 	13.2                    	311             	-104.446246	42.271681   	1824 	1823          	5.6  	23.2       	5.9       	0.967085
82                      	818.4                  	21.9                   	34 	13.2                    	311             	-104.446116	42.271627   	1830 	1829          	5.5  	23.1       	5.9       	0.966428
83                      	817.9                  	21.9                   	34 	13.3                    	311             	-104.445987	42.271573   	1836 	1835          	5.3  	23.1       	5.9       	0.965771
84                      	817.3                  	21.9                   	33 	13.3                    	311             	-104.445857	42.271519   	1842 	1841          	5.1  	23.1       	5.9       	0.965114
85                      	816.7                  	21.9                   	33 	13.3                    	311             	-104.445728	42.271465   	1848 	1847          	4.9  	23.1       	5.9       	0.964457
86                      	816.2                  	21.9                   	33 	13.4                    	310             	-104.445599	42.271411   	1854 	1853          	4.7  	23.1       	5.9       	0.963801
87                      	815.6                  	21.9                   	32 	13.4                    	310             	-104.445469	42.271357   	1860 	1859          	4.6  	23.1       	5.9       	0.963146
88                      	815.1                  	21.9                   	32 	13.4                    	310             	-104.445340	42.271302   	1866 	1865          	4.4  	23.1       	5.9       	0.962472
89                      	814.5                  	21.9                   	31 	13.4                    	310             	-104.445211	42.271248   	1872 	1871          	4.2  	23.0       	5.9       	0.961798
90                      	813.9                  	21.9                   	31 	13.5                    	310             	-104.445081	42.271194   	1878 	1877          	4.0  	23.0       	5.9       	0.961125
91                      	813.4                  	21.9                   	31 	13.4                    	309             	-104.444952	42.271140   	1884 	1883          	4.0  	23.0       	5.9       	0.960452
92                      	812.8                  	21.9                   	31 	13.2                    	308             	-104.444823	42.271086   	1890 	1889          	3.9  	23.0       	5.9       	0.959779
93                      	812.3                  	21.9                   	31 	13.1                    	308             	-104.444693	42.271032   	1896 	1895          	3.9  	23.0       	5.9       	0.959107
94                      	811.7                  	21.9                   	30 	13.0                    	307             	-104.444564	42.270978   	1902 	1901          	3.8  	23.0       	5.9       	0.958436
95                      	811.2                  	21.9                   	30 	12.9                    	306             	-104.444434	42.270924   	1908 	1907          	3.7  	23.0       	5.9       	0.957765
96                      	810.6                  	21.9                   	30 	12.8                    	306             	-104.444305	42.270870   	1914 	1913          	3.7  	23.0       	5.9       	0.957094
97                      	810.0                  	22.0                   	30 	12.7                    	305             	-104.444176	42.270816   	1920 	1918          	3.6  	23.0       	5.9       	0.956424
98                      	809.5                  	22.0                   	30 	12.6                    	304             	-104.444046	42.270762   	1926 	1924          	3.6  	23.0       	5.9       	0.955754
99                      	808.9                  	22.0                   	30 	12.4                    	303             	-104.443917	42.270707   	1932 	1930          	3.5  	23.0       	5.9       	0.955084
100                     	808.4                  	22.0                   	30 	12.3                    	303             	-104.443788	42.270653   	1937 	1936          	3.4  	23.0       	5.9       	0.954415
101                     	807.8                  	21.9                   	29 	12.2                    	302             	-104.443658	42.270599   	1943 	1942          	3.4  	23.0       	5.9       	0.953832
102                     	807.3                  	21.9                   	29 	12.1                    	301             	-104.443529	42.270545   	1949 	1948          	3.3  	23.0       	5.9       	0.953316
103                     	806.7                  	21.9                   	29 	12.0                    	300             	-104.443400	42.270491   	1955 	1954          	3.2  	22.9       	5.9       	0.952804
104                     	806.2                  	21.8                   	29 	11.9                    	300             	-104.443270	42.270437   	1961 	1960          	3.1  	22.9       	5.9       	0.952293
105                     	805.6                  	21.8                   	29 	11.8                    	299             	-104.443141	42.270383   	1967 	1966          	3.0  	22.8       	5.9       	0.951782
106                     	805.1                  	21.7                   	29 	11.8                    	298             	-104.443011	42.270329   	1973 	1972          	3.0  	22.8       	5.9       	0.951271
107                     	804.5                  	21.7                   	29 	11.7                    	297             	-104.442882	42.270275   	1979 	1978          	2.9  	22.7       	5.9       	0.950760
108                     	804.0                  	21.6                   	29 	11.6                    	296             	-104.442763	42.270236   	1985 	1984          	2.9  	22.7       	5.7       	0.950250
109                     	803.5                  	21.6                   	29 	11.5                    	295             	-104.442647	42.270204   	1990 	1989          	2.8  	22.6       	5.6       	0.949768
110                     	802.9                  	21.6                   	29 	11.4                    	295             	-104.442532	42.270172   	1996 	1995          	2.7  	22.6       	5.6       	0.949287
111                     	802.4                  	21.5                   	29 	11.4                    	294             	-104.442417	42.270140   	2002 	2001          	2.7  	22.5       	5.6       	0.948806
112                     	801.9                  	21.5                   	29 	11.3                    	294             	-104.442301	42.270107   	2007 	2006          	2.6  	22.5       	5.6       	0.948326
113                     	801.4                  	21.4                   	29 	11.2                    	294             	-104.442186	42.270075   	2013 	2012          	2.6  	22.5       	5.6       	0.947845
114                     	800.8                  	21.4                   	29 	11.2                    	294             	-104.442070	42.270043   	2019 	2017          	2.5  	22.4       	5.6       	0.947354
115                     	800.3                  	21.4                   	29 	11.1                    	294             	-104.441955	42.270010   	2024 	2023          	2.5  	22.4       	5.6       	0.946772
116                     	799.8                  	21.4                   	29 	11.0                    	294             	-104.441840	42.269978   	2030 	2029          	2.4  	22.4       	5.6       	0.946190
117                     	799.3                  	21.4                   	29 	11.0                    	294             	-104.441724	42.269946   	2036 	2034          	2.4  	22.4       	5.6       	0.945608
118                     	798.8                  	21.4                   	28 	10.9                    	294             	-104.441609	42.269914   	2041 	2040          	2.4  	22.4       	5.6       	0.945027
119                     	798.2                  	21.3                   	28 	10.8                    	293             	-104.441494	42.269881   	2047 	2046          	2.3  	22.3       	5.6       	0.944446
120                     	797.7                  	21.3                   	28 	10.8                    	293             	-104.441378	42.269849   	2053 	2051          	2.3  	22.3       	5.6       	0.943866
121                     	797.2                  	21.3                   	28 	10.7                    	293             	-104.441263	42.269817   	2058 	2057          	2.3  	22.3       	5.6       	0.943285
122                     	796.7                  	21.3                   	28 	10.6                    	293             	-104.441147	42.269785   	2064 	2063          	2.3  	22.3       	5.6       	0.942705
123                     	796.2                  	21.3                   	28 	10.6                    	293             	-104.441032	42.269752   	2070 	2068          	2.2  	22.3       	5.6       	0.942125
124                     	795.6                  	21.3                   	28 	10.5                    	293             	-104.440917	42.269720   	2075 	2074          	2.2  	22.3       	5.6       	0.941546
125                     	795.1                  	21.3                   	28 	10.4                    	293             	-104.440801	42.269688   	2081 	2080          	2.2  	22.3       	5.6       	0.940967
126                     	794.6                  	21.3                   	28 	10.4                    	293             	-104.440686	42.269655   	2086 	2085          	2.2  	22.3       	5.6       	0.940388
127                     	794.1                  	21.3                   	28 	10.3                    	292             	-104.440571	42.269623   	2092 	2091          	2.1  	22.3       	5.6       	0.939810
128                     	793.6                  	21.2                   	28 	10.2                    	292             	-104.440455	42.269591   	2098 	2096          	2.1  	22.2       	5.6       	0.939276
129                     	793.0                  	21.2                   	28 	10.2                    	292             	-104.440340	42.269559   	2103 	2102          	2.0  	22.2       	5.6       	0.938767
130                     	792.5                  	21.2                   	28 	10.1                    	292             	-104.440224	42.269526   	2109 	2108          	2.0  	22.2       	5.6       	0.938257
131                     	792.0                  	21.1                   	28 	10.1                    	292             	-104.440109	42.269494   	2115 	2113          	2.0  	22.1       	5.6       	0.937748
132                     	791.5                  	21.1                   	28 	10.1                    	292             	-104.439994	42.269462   	2120 	2119          	1.9  	22.1       	5.6       	0.937239
133                     	791.0                  	21.1                   	28 	10.1                    	291             	-104.439878	42.269430   	2126 	2125          	1.9  	22.1       	5.6       	0.936730
134                     	790.5                  	21.0                   	28 	10.1                    	291             	-104.439763	42.269397   	2132 	2130          	1.9  	22.0       	5.6       	0.936221
135                     	789.9                  	21.0                   	28 	10.1                    	291             	-104.439647	42.269365   	2137 	2136          	1.8  	22.0       	5.6       	0.935713
136                     	789.4                  	21.0                   	28 	10.1                    	291             	-104.439532	42.269333   	2143 	2142          	1.8  	21.9       	5.6       	0.935205
137                     	788.9                  	20.9                   	28 	10.1                    	291             	-104.439417	42.269300   	2149 	2147          	1.8  	21.9       	5.6       	0.934697
138                     	788.4                  	20.9                   	28 	10.0                    	290             	-104.439301	42.269268   	2154 	2153          	1.7  	21.9       	5.6       	0.934190
139                     	787.9                  	20.9                   	28 	10.0                    	290             	-104.439192	42.269242   	2160 	2159          	1.7  	21.8       	5.7       	0.933670
140                     	787.3                  	20.8                   	28 	10.0                    	290             	-104.439085	42.269219   	2166 	2164          	1.7  	21.8       	5.8       	0.933152
141                     	786.8                  	20.8                   	28 	10.0                    	290             	-104.438978	42.269195   	2171 	2170          	1.7  	21.8       	5.8       	0.932634
142                     	786.3                  	20.8                   	28 	10.0                    	290             	-104.438871	42.269172   	2177 	2176          	1.6  	21.7       	5.8       	0.932121
143                     	785.8                  	20.7                   	28 	10.0                    	289             	-104.438764	42.269148   	2183 	2182          	1.6  	21.7       	5.8       	0.931607
144                     	785.3                  	20.7                   	28 	10.0                    	289             	-104.438657	42.269124   	2189 	2187          	1.6  	21.7       	5.8       	0.931094
145                     	784.7                  	20.7                   	28 	10.0                    	289             	-104.438550	42.269101   	2194 	2193          	1.5  	21.6       	5.8       	0.930581
146                     	784.2                  	20.6                   	28 	10.0                    	289             	-104.438443	42.269077   	2200 	2199          	1.5  	21.6       	5.8       	0.930067
147                     	783.7                  	20.6                   	28 	10.0                    	289             	-104.438336	42.269054   	2206 	2205          	1.5  	21.6       	5.8       	0.929554
148                     	783.2                  	20.6                   	28 	10.0                    	288             	-104.438229	42.269030   	2212 	2210          	1.4  	21.5       	5.8       	0.929042
149                     	782.6                  	20.5                   	28 	10.0                    	288             	-104.438123	42.269007   	2218 	2216          	1.4  	21.5       	5.8       	0.928529
150                     	782.1                  	20.5                   	28 	10.0                    	288             	-104.438016	42.268983   	2223 	2222          	1.4  	21.5       	5.8       	0.928017
151                     	781.6                  	20.5                   	28 	9.9                     	288             	-104.437909	42.268960   	2229 	2228          	1.3  	21.4       	5.8       	0.927505
152                     	781.1                  	20.4                   	28 	9.9                     	288             	-104.437802	42.268936   	2235 	2233          	1.3  	21.4       	5.8       	0.926993
153                     	780.6                  	20.4                   	28 	9.8                     	288             	-104.437695	42.268913   	2241 	2239          	1.3  	21.4       	5.8       	0.926481
154                     	780.0                  	20.4                   	28 	9.7                     	287             	-104.437588	42.268889   	2246 	2245          	1.2  	21.3       	5.8       	0.925969
155                     	779.5                  	20.3                   	28 	9.7                     	287             	-104.437481	42.268866   	2252 	2251          	1.2  	21.3       	5.8       	0.925453
156                     	779.0                  	20.3                   	28 	9.6                     	287             	-104.437374	42.268842   	2258 	2256          	1.2  	21.3       	5.8       	0.924934
157                     	778.5                  	20.3                   	28 	9.5                     	287             	-104.437267	42.268818   	2264 	2262          	1.2  	21.2       	5.8       	0.924416
158                     	778.0                  	20.2                   	28 	9.4                     	287             	-104.437160	42.268795   	2269 	2268          	1.1  	21.2       	5.8       	0.923898
159                     	777.4                  	20.2                   	28 	9.4                     	287             	-104.437053	42.268771   	2275 	2274          	1.1  	21.2       	5.8       	0.923380
160                     	776.9                  	20.2                   	28 	9.3                     	287             	-104.436946	42.268748   	2281 	2279          	1.1  	21.1       	5.8       	0.922863
161                     	776.4                  	20.1                   	28 	9.2                     	286             	-104.436839	42.268724   	2287 	2285          	1.1  	21.1       	5.8       	0.922345
162                     	775.9                  	20.1                   	28 	9.2                     	286             	-104.436732	42.268701   	2292 	2291          	1.0  	21.1       	5.8       	0.921828
163                     	775.4                  	20.1                   	28 	9.1                     	286             	-104.436625	42.268677   	2298 	2297          	1.0  	21.0       	5.8       	0.921311
164                     	774.8                  	20.1                   	28 	9.0                     	286             	-104.436518	42.268654   	2304 	2302          	1.0  	21.0       	5.8       	0.920795
165                     	774.3                  	20.0                   	28 	9.0                     	286             	-104.436412	42.268630   	2310 	2308          	1.0  	21.0       	5.8       	0.920278
166                     	773.8                  	20.0                   	28 	8.9                     	286             	-104.436305	42.268607   	2315 	2314          	1.0  	20.9       	5.8       	0.919762
167                     	773.3                  	20.0                   	28 	8.8                     	286             	-104.436198	42.268583   	2321 	2320          	0.9  	20.9       	5.8       	0.919247
168                     	772.8                  	19.9                   	28 	8.8                     	285             	-104.436091	42.268560   	2327 	2325          	0.9  	20.9       	5.8       	0.918733
169                     	772.3                  	19.9                   	28 	8.7                     	285             	-104.435984	42.268536   	2333 	2331          	0.9  	20.8       	5.8       	0.918263
170                     	771.8                  	19.9                   	28 	8.6                     	285             	-104.435881	42.268514   	2338 	2337          	0.9  	20.8       	5.5       	0.917792
171                     	771.3                  	19.8                   	28 	8.6                     	285             	-104.435781	42.268492   	2343 	2342          	0.8  	20.8       	5.3       	0.917322
172                     	770.8                  	19.8                   	28 	8.7                     	285             	-104.435682	42.268470   	2349 	2347          	0.8  	20.7       	5.3       	0.916852
173                     	770.4                  	19.8                   	28 	8.7                     	285             	-104.435582	42.268449   	2354 	2352          	0.8  	20.7       	5.3       	0.916383
174                     	769.9                  	19.7                   	28 	8.7                     	285             	-104.435483	42.268427   	2359 	2358          	0.8  	20.7       	5.3       	0.915913
175                     	769.4                  	19.7                   	28 	8.7                     	285             	-104.435383	42.268406   	2365 	2363          	0.7  	20.6       	5.3       	0.915456
176                     	768.9                  	19.7                   	28 	8.7                     	285             	-104.435284	42.268384   	2370 	2368          	0.7  	20.6       	5.3       	0.914999
177                     	768.5                  	19.6                   	28 	8.7                     	285             	-104.435185	42.268363   	2375 	2374          	0.7  	20.6       	5.3       	0.914543
178                     	768.0                  	19.6                   	28 	8.8                     	285             	-104.435085	42.268341   	2380 	2379          	0.7  	20.5       	5.3       	0.914086
179                     	767.5                  	19.6                   	28 	8.8                     	286             	-104.434986	42.268320   	2386 	2384          	0.6  	20.5       	5.3       	0.913630
180                     	767.0                  	19.5                   	28 	8.8                     	286             	-104.434886	42.268298   	2391 	2389          	0.6  	20.4       	5.3       	0.913174
181                     	766.6                  	19.5                   	28 	8.8                     	286             	-104.434787	42.268277   	2396 	2395          	0.6  	20.4       	5.3       	0.912718
182                     	766.1                  	19.5                   	28 	8.8                     	286             	-104.434687	42.268255   	2402 	2400          	0.6  	20.4       	5.3       	0.912251
183                     	765.6                  	19.4                   	28 	8.8                     	286             	-104.434588	42.268234   	2407 	2405          	0.6  	20.4       	5.3       	0.911782
184                     	765.2                  	19.4                   	28 	8.9                     	286             	-104.434488	42.268212   	2412 	2411          	0.5  	20.3       	5.3       	0.911314
185                     	764.7                  	19.4                   	28 	8.9                     	286             	-104.434389	42.268191   	2417 	2416          	0.5  	20.3       	5.3       	0.910846
186                     	764.2                  	19.3                   	28 	8.9                     	286             	-104.434289	42.268169   	2423 	2421          	0.5  	20.3       	5.3       	0.910378
187                     	763.8                  	19.3                   	28 	8.9                     	286             	-104.434190	42.268148   	2428 	2426          	0.5  	20.2       	5.3       	0.909910
188                     	763.3                  	19.3                   	28 	8.9                     	286             	-104.434091	42.268126   	2433 	2432          	0.5  	20.2       	5.3       	0.909443
189                     	762.8                  	19.3                   	28 	8.9                     	286             	-104.433991	42.268105   	2439 	2437          	0.4  	20.2       	5.3       	0.908975
190                     	762.3                  	19.2                   	28 	9.0                     	286             	-104.433892	42.268083   	2444 	2442          	0.4  	20.1       	5.3       	0.908508
